___,_____,____ ______,,,,,,,,,,,,,,,,,,,,,,,
advantage,_____,,,,,,,,,,,,,,,,,,,,,,,,
advent,"1. _____, ______2. ___, ____",,,,,,,,,,,,,,,,,,,,,,,,
adversary,____,,,,,,,,,,,,,,,,,,,,,,,,
advertising,_____,,,,,,,,,,,,,,,,,,,,,,,,
advice,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
advocate,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
advocator,"____, _____, ____ ___",,,,,,,,,,,,,,,,,,,,,,,,
aesthetics,_______,,,,,,,,,,,,,,,,,,,,,,,,
affect,"______, ____, ______ ____",,,,,,,,,,,,,,,,,,,,,,,,
affiliation,_______,,,,,,,,,,,,,,,,,,,,,,,,
affirm,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
afflict,"_____ (___, ___)",,,,,,,,,,,,,,,,,,,,,,,,
affluence,"___, ____",,,,,,,,,,,,,,,,,,,,,,,,
affluent,____,,,,,,,,,,,,,,,,,,,,,,,,
against,____,,,,,,,,,,,,,,,,,,,,,,,,
age,"___, _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
agency,"______, ____",,,,,,,,,,,,,,,,,,,,,,,,
agile,____ _____,,,,,,,,,,,,,,,,,,,,,,,,
agglomeration,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
aggressive,______,,,,,,,,,,,,,,,,,,,,,,,,
aggression,_______,,,,,,,,,,,,,,,,,,,,,,,,
aggregate,"____, ___, _____, _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
aging,"_______, _______",,,,,,,,,,,,,,,,,,,,,,,,
agonizing,_____,,,,,,,,,,,,,,,,,,,,,,,,
aid,"_____, ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
aim,"1. _____, ______2. _____3. ____, ___",,,,,,,,,,,,,,,,,,,,,,,,
alert,_____,,,,,,,,,,,,,,,,,,,,,,,,
alien,"__, ____",,,,,,,,,,,,,,,,,,,,,,,,
alienate,"______, ____",,,,,,,,,,,,,,,,,,,,,,,,
allegation,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
allege,_____,,,,,,,,,,,,,,,,,,,,,,,,
allow,______,,,,,,,,,,,,,,,,,,,,,,,,
allowance,"____, ___ ___",,,,,,,,,,,,,,,,,,,,,,,,
allure,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
allusion,_____,,,,,,,,,,,,,,,,,,,,,,,,
ally,___-____,,,,,,,,,,,,,,,,,,,,,,,,
alone,"___, ____",,,,,,,,,,,,,,,,,,,,,,,,
aloof,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
also,__,,,,,,,,,,,,,,,,,,,,,,,,
alter,_____,,,,,,,,,,,,,,,,,,,,,,,,
alteration,_____,,,,,,,,,,,,,,,,,,,,,,,,
alternate,"1. ________2. ____ ____",,,,,,,,,,,,,,,,,,,,,,,,
although,"_____, __-__-__",,,,,,,,,,,,,,,,,,,,,,,,
always,____,,,,,,,,,,,,,,,,,,,,,,,,
amaze,______,,,,,,,,,,,,,,,,,,,,,,,,
amazing,_____,,,,,,,,,,,,,,,,,,,,,,,,
ambiguity,"____ ______, _____",,,,,,,,,,,,,,,,,,,,,,,,
ambiguous,______,,,,,,,,,,,,,,,,,,,,,,,,
ambitious,_____,,,,,,,,,,,,,,,,,,,,,,,,
ambivalence,"__ ______, ____________",,,,,,,,,,,,,,,,,,,,,,,,
amend,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
amiable,___ ______,,,,,,,,,,,,,,,,,,,,,,,,
amicable,_______,,,,,,,,,,,,,,,,,,,,,,,,
amiss,__ _____,,,,,,,,,,,,,,,,,,,,,,,,
among,"____ __, ____.",,,,,,,,,,,,,,,,,,,,,,,,
amount,____,,,,,,,,,,,,,,,,,,,,,,,,
amusement,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
amusing,_____,,,,,,,,,,,,,,,,,,,,,,,,
analyst,"______, ____",,,,,,,,,,,,,,,,,,,,,,,,
analyze,"____, ____ _______, _____",,,,,,,,,,,,,,,,,,,,,,,,
ancestor,__ _____,,,,,,,,,,,,,,,,,,,,,,,,
ancient,____,,,,,,,,,,,,,,,,,,,,,,,,
angle,____,,,,,,,,,,,,,,,,,,,,,,,,
animate,"1. _____ ___ ____2. __,  ____",,,,,,,,,,,,,,,,,,,,,,,,
annex,"___, _____",,,,,,,,,,,,,,,,,,,,,,,,
announce,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
announcement,_____,,,,,,,,,,,,,,,,,,,,,,,,
annoying,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
annual,____,,,,,,,,,,,,,,,,,,,,,,,,
another,"___, ____",,,,,,,,,,,,,,,,,,,,,,,,
answer,"1. _____, _____2. _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
antagonistic,_____,,,,,,,,,,,,,,,,,,,,,,,,
antecedent,"____ ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
anticipate,________,,,,,,,,,,,,,,,,,,,,,,,,
antique,"____, ______",,,,,,,,,,,,,,,,,,,,,,,,
antiquity,___ ___,,,,,,,,,,,,,,,,,,,,,,,,
anxiety,____,,,,,,,,,,,,,,,,,,,,,,,,
anxious,"1. ___2. ____",,,,,,,,,,,,,,,,,,,,,,,,
aplomb,______ ____,,,,,,,,,,,,,,,,,,,,,,,,
apocryphal,______,,,,,,,,,,,,,,,,,,,,,,,,
apology,_______,,,,,,,,,,,,,,,,,,,,,,,,
apostle,"____ , _____",,,,,,,,,,,,,,,,,,,,,,,,
apparatus,"1. ______, _____2. ___, ____",,,,,,,,,,,,,,,,,,,,,,,,
apparent,"______, ____",,,,,,,,,,,,,,,,,,,,,,,,
appeal,"_____, ____, _____, _____ __",,,,,,,,,,,,,,,,,,,,,,,,
appealed to,"1. ___2. ___ __",,,,,,,,,,,,,,,,,,,,,,,,
appear,"_______, ______",,,,,,,,,,,,,,,,,,,,,,,,
application,"1. ____, ____2. _____, ________",,,,,,,,,,,,,,,,,,,,,,,,
apply,"_____ ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
appoint,_____,,,,,,,,,,,,,,,,,,,,,,,,
apposite,_____ ____,,,,,,,,,,,,,,,,,,,,,,,,
appreciate,______,,,,,,,,,,,,,,,,,,,,,,,,
approach,____,,,,,,,,,,,,,,,,,,,,,,,,
appropriate,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
approval,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
apt,_____,,,,,,,,,,,,,,,,,,,,,,,,
aptitude,"____, _____, ______, ______",,,,,,,,,,,,,,,,,,,,,,,,
arbitration,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
arc,___,,,,,,,,,,,,,,,,,,,,,,,,
area,____,,,,,,,,,,,,,,,,,,,,,,,,
argue,_______,,,,,,,,,,,,,,,,,,,,,,,,
argument,_____,,,,,,,,,,,,,,,,,,,,,,,,
arise,"__, ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
arm limitation,"_____, _____ ___",,,,,,,,,,,,,,,,,,,,,,,,
 (to) arouse,_____,,,,,,,,,,,,,,,,,,,,,,,,
arrange,____,,,,,,,,,,,,,,,,,,,,,,,,
arrangement,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
array,____,,,,,,,,,,,,,,,,,,,,,,,,
arrest,_____,,,,,,,,,,,,,,,,,,,,,,,,
arrive,_____,,,,,,,,,,,,,,,,,,,,,,,,
artery,____,,,,,,,,,,,,,,,,,,,,,,,,
article,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
articulate,"____, ___ ____ ____",,,,,,,,,,,,,,,,,,,,,,,,
artificial,_______,,,,,,,,,,,,,,,,,,,,,,,,
(to) ascend,"_____, _______",,,,,,,,,,,,,,,,,,,,,,,,
ascertain,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
ascribe,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
ask,"1. _____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
aspect,"1. ____, ___, __2. ____ ____",,,,,,,,,,,,,,,,,,,,,,,,
aspire,_____,,,,,,,,,,,,,,,,,,,,,,,,
assassination,"___, _______",,,,,,,,,,,,,,,,,,,,,,,,
assault,"_____, _______, ____",,,,,,,,,,,,,,,,,,,,,,,,
assert,_____,,,,,,,,,,,,,,,,,,,,,,,,
assemble,______,,,,,,,,,,,,,,,,,,,,,,,,
assembly,"_____, _______",,,,,,,,,,,,,,,,,,,,,,,,
assertive,"_______, _____",,,,,,,,,,,,,,,,,,,,,,,,
assessment,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
assets,_____,,,,,,,,,,,,,,,,,,,,,,,,
assign,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
assignment,____,,,,,,,,,,,,,,,,,,,,,,,,
assimilation,"_____, _______",,,,,,,,,,,,,,,,,,,,,,,,
assistance,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
associate,"______, _______",,,,,,,,,,,,,,,,,,,,,,,,
assume,_____,,,,,,,,,,,,,,,,,,,,,,,,
assumption,____,,,,,,,,,,,,,,,,,,,,,,,,
assure,______,,,,,,,,,,,,,,,,,,,,,,,,
astonish,______,,,,,,,,,,,,,,,,,,,,,,,,
astound,______,,,,,,,,,,,,,,,,,,,,,,,,
atmosphere,"1. _____2. _________",,,,,,,,,,,,,,,,,,,,,,,,
at a stretch,"____, ___ ____",,,,,,,,,,,,,,,,,,,,,,,,
atoll,_____ ____,,,,,,,,,,,,,,,,,,,,,,,,
attach,____,,,,,,,,,,,,,,,,,,,,,,,,
attain,_____,,,,,,,,,,,,,,,,,,,,,,,,
attempt,_____,,,,,,,,,,,,,,,,,,,,,,,,
attend,_____ ____,,,,,,,,,,,,,,,,,,,,,,,,
attendant,"1. _____2. ____3. ____",,,,,,,,,,,,,,,,,,,,,,,,
attest,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
attire,______,,,,,,,,,,,,,,,,,,,,,,,,
attitude,"____, ___",,,,,,,,,,,,,,,,,,,,,,,,
attract,_____,,,,,,,,,,,,,,,,,,,,,,,,
attraction,_____,,,,,,,,,,,,,,,,,,,,,,,,
attractive,____,,,,,,,,,,,,,,,,,,,,,,,,
 attribute,"1. _____2. _____",,,,,,,,,,,,,,,,,,,,,,,,
audacious,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
audience,___,,,,,,,,,,,,,,,,,,,,,,,,
augment,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
authentic,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
authenticate,"____, ____, ______",,,,,,,,,,,,,,,,,,,,,,,,
author,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
authority,"_____, ____ ______",,,,,,,,,,,,,,,,,,,,,,,,
authorize,"1. ____2. ______",,,,,,,,,,,,,,,,,,,,,,,,
automation,"_____, ________",,,,,,,,,,,,,,,,,,,,,,,,
availability,______,,,,,,,,,,,,,,,,,,,,,,,,
avarice,_____ ___,,,,,,,,,,,,,,,,,,,,,,,,
average,_____,,,,,,,,,,,,,,,,,,,,,,,,
avert,_____,,,,,,,,,,,,,,,,,,,,,,,,
avoid,______,,,,,,,,,,,,,,,,,,,,,,,,
awareness,______,,,,,,,,,,,,,,,,,,,,,,,,
awe,____ ____,,,,,,,,,,,,,,,,,,,,,,,,
awkward,"____, _____, __ _____",,,,,,,,,,,,,,,,,,,,,,,,
axiom,"_______, ____ ____",,,,,,,,,,,,,,,,,,,,,,,,
axis,___,,,,,,,,,,,,,,,,,,,,,,,,
azure,"1. ____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
,B,,,,,,,,,,,,,,,,,,,,,,,,
back,"1. __2. ___ _____3. _____",,,,,,,,,,,,,,,,,,,,,,,,
background,___,,,,,,,,,,,,,,,,,,,,,,,,
backward,_____,,,,,,,,,,,,,,,,,,,,,,,,
balance,"1. _____2. _______3. _____ ____",,,,,,,,,,,,,,,,,,,,,,,,
bamboozle,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
ban,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
banish,"____, ______",,,,,,,,,,,,,,,,,,,,,,,,
banner,"___, ____",,,,,,,,,,,,,,,,,,,,,,,,
bar,"_____, _____, ______",,,,,,,,,,,,,,,,,,,,,,,,
bare,"1. _____, _____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
barely,_____,,,,,,,,,,,,,,,,,,,,,,,,
barrack,"_____ ______ _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
barren,"____,___,____",,,,,,,,,,,,,,,,,,,,,,,,
barrier,_____,,,,,,,,,,,,,,,,,,,,,,,,
barter,______,,,,,,,,,,,,,,,,,,,,,,,,
base,____,,,,,,,,,,,,,,,,,,,,,,,,
bashful,_____,,,,,,,,,,,,,,,,,,,,,,,,
basin,"____, _____, ___-___",,,,,,,,,,,,,,,,,,,,,,,,
bay,____,,,,,,,,,,,,,,,,,,,,,,,,
bear,____,,,,,,,,,,,,,,,,,,,,,,,,
bearing,"1. _____, _____2. _______3. _____",,,,,,,,,,,,,,,,,,,,,,,,
bear resemblance,_______,,,,,,,,,,,,,,,,,,,,,,,,
beat,"1. _____, _____2. _____3. _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
because,"__, ______ _",,,,,,,,,,,,,,,,,,,,,,,,
become,_____ _,,,,,,,,,,,,,,,,,,,,,,,,
before,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
beforehand,____,,,,,,,,,,,,,,,,,,,,,,,,
begin,______,,,,,,,,,,,,,,,,,,,,,,,,
beginning,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
behave,______,,,,,,,,,,,,,,,,,,,,,,,,
behavior,_______,,,,,,,,,,,,,,,,,,,,,,,,
bellicose,"_____ ___, _____",,,,,,,,,,,,,,,,,,,,,,,,
belligerent,"____, ______",,,,,,,,,,,,,,,,,,,,,,,,
believe,______,,,,,,,,,,,,,,,,,,,,,,,,
bend,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
bend over,_______,,,,,,,,,,,,,,,,,,,,,,,,
beneath,____ _,,,,,,,,,,,,,,,,,,,,,,,,
benefactor,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
beneficial,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
benefit,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
bent,"1. _____2. ____3. ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
bequeath,______,,,,,,,,,,,,,,,,,,,,,,,,
besides,___ ___,,,,,,,,,,,,,,,,,,,,,,,,
best,"___ ___, _____",,,,,,,,,,,,,,,,,,,,,,,,
betray,_____,,,,,,,,,,,,,,,,,,,,,,,,
between,"1. ___2. ______ (____ them)",,,,,,,,,,,,,,,,,,,,,,,,
bewildering,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
bewilderment,_____,,,,,,,,,,,,,,,,,,,,,,,,
beverage,____,,,,,,,,,,,,,,,,,,,,,,,,
biased,"_____, ___ ___ _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
bind,"1. _____2. _____3. _____",,,,,,,,,,,,,,,,,,,,,,,,
binoculars,_____,,,,,,,,,,,,,,,,,,,,,,,,
birch,__ _____,,,,,,,,,,,,,,,,,,,,,,,,
bitter,__,,,,,,,,,,,,,,,,,,,,,,,,
blame,"______, ____",,,,,,,,,,,,,,,,,,,,,,,,
blaspheme,"____ (___ ____), ____",,,,,,,,,,,,,,,,,,,,,,,,
blaze,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
bleed,____,,,,,,,,,,,,,,,,,,,,,,,,
blindly,_____ _____,,,,,,,,,,,,,,,,,,,,,,,,
blizzard,____ ___,,,,,,,,,,,,,,,,,,,,,,,,
blood,__,,,,,,,,,,,,,,,,,,,,,,,,
bloom,"_____, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
blouse,_____,,,,,,,,,,,,,,,,,,,,,,,,
blow,"1. ___ _____2. _____3. ___",,,,,,,,,,,,,,,,,,,,,,,,
blunt,"1. ___2. ____",,,,,,,,,,,,,,,,,,,,,,,,
bold,"1. ____, ____2. ____3. ____",,,,,,,,,,,,,,,,,,,,,,,,
bond,"1. ___ (___ _____ / _____)2. _____ ______ (to bond)",,,,,,,,,,,,,,,,,,,,,,,,
bone,_____,,,,,,,,,,,,,,,,,,,,,,,,
boost,"1. ___, _____2. _____ _____",,,,,,,,,,,,,,,,,,,,,,,,
border,"____, ____, ___",,,,,,,,,,,,,,,,,,,,,,,,
bore,"1. _____2. _____",,,,,,,,,,,,,,,,,,,,,,,,
boring,"1. _____2. _____",,,,,,,,,,,,,,,,,,,,,,,,
borrow,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
bother,______,,,,,,,,,,,,,,,,,,,,,,,,
boundary,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
brake,"1. _____, _____2. _____, ___",,,,,,,,,,,,,,,,,,,,,,,,
branch,"1. ___, ____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
brand,____,,,,,,,,,,,,,,,,,,,,,,,,
breadth,____,,,,,,,,,,,,,,,,,,,,,,,,
break,_____,,,,,,,,,,,,,,,,,,,,,,,,
breakdown,________,,,,,,,,,,,,,,,,,,,,,,,,
break-through,_____ ___,,,,,,,,,,,,,,,,,,,,,,,,
breath,_____,,,,,,,,,,,,,,,,,,,,,,,,
bridle,___,,,,,,,,,,,,,,,,,,,,,,,,
brief,___,,,,,,,,,,,,,,,,,,,,,,,,
bright,"1. ____, ____2. ____","_____, _____, ___- _____",,,,,,,,,,,,,,,,,,,,,,,
bring,_____,,,,,,,,,,,,,,,,,,,,,,,,
broad,___,,,,,,,,,,,,,,,,,,,,,,,,
broadly,"1. ____ ___2. _____ ____",,,,,,,,,,,,,,,,,,,,,,,,
brute,____,,,,,,,,,,,,,,,,,,,,,,,,
budget,_____,,,,,,,,,,,,,,,,,,,,,,,,
bulky,"1. _____2. ____ _____",,,,,,,,,,,,,,,,,,,,,,,,
buffoon,____,,,,,,,,,,,,,,,,,,,,,,,,
bulwark,"____ ___, _____",,,,,,,,,,,,,,,,,,,,,,,,
burden,"___, ___, _____",,,,,,,,,,,,,,,,,,,,,,,,
bury,_____,,,,,,,,,,,,,,,,,,,,,,,,
buttress,"_______, ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
buy,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
by virtue of,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
by-product,____ _____,,,,,,,,,,,,,,,,,,,,,,,,
bypass,_____,,,,,,,,,,,,,,,,,,,,,,,,
,C,,,,,,,,,,,,,,,,,,,,,,,,
calculation,_____,,,,,,,,,,,,,,,,,,,,,,,,
calmly,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
camouflage,______,,,,,,,,,,,,,,,,,,,,,,,,
campaign,"______, ___ _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
cancel,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
candid,"__, ____ __",,,,,,,,,,,,,,,,,,,,,,,,
candidate,_____,,,,,,,,,,,,,,,,,,,,,,,,
candidness,____,,,,,,,,,,,,,,,,,,,,,,,,
capability,"_____, ____, _______",,,,,,,,,,,,,,,,,,,,,,,,
capable," _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
capacity,_____,,,,,,,,,,,,,,,,,,,,,,,,
capital,"1. ___2. ___ _____3. ___ ____",,,,,,,,,,,,,,,,,,,,,,,,
capital punishment,____ ____,,,,,,,,,,,,,,,,,,,,,,,,
capitalize,"1. _______ ___2. _____ _____ _____",,,,,,,,,,,,,,,,,,,,,,,,
captivity,____,,,,,,,,,,,,,,,,,,,,,,,,
carefully,_______,,,,,,,,,,,,,,,,,,,,,,,,
cargo,____,,,,,,,,,,,,,,,,,,,,,,,,
carcass,___,,,,,,,,,,,,,,,,,,,,,,,,
case,"1. _____2. ____, ___3. ____4. ____",,,,,,,,,,,,,,,,,,,,,,,,
casual,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
casualty,"_____, _____ ____",,,,,,,,,,,,,,,,,,,,,,,,
catastrophe,____,,,,,,,,,,,,,,,,,,,,,,,,
catastrophic,___ ____,,,,,,,,,,,,,,,,,,,,,,,,
caucus,_____ _______,,,,,,,,,,,,,,,,,,,,,,,,
cause,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
cease,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
cease fire,_____ __,,,,,,,,,,,,,,,,,,,,,,,,
celebrate,"1. _____2. ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
celebration,_____,,,,,,,,,,,,,,,,,,,,,,,,
century,___ ____,,,,,,,,,,,,,,,,,,,,,,,,
ceremony,___,,,,,,,,,,,,,,,,,,,,,,,,
certain,"1. ____, ____2. ___ ______",,,,,,,,,,,,,,,,,,,,,,,,
certainty,______,,,,,,,,,,,,,,,,,,,,,,,,
certificate,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
certify," ____, ______",,,,,,,,,,,,,,,,,,,,,,,,
challenge,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
change,"1. _____, ______, _____ 2. ____",,,,,,,,,,,,,,,,,,,,,,,,
chant,"1. ____ (____ _____ ___)2. _____, ___",,,,,,,,,,,,,,,,,,,,,,,,
chaos,____ _____,,,,,,,,,,,,,,,,,,,,,,,,
chapter,"___, _____",,,,,,,,,,,,,,,,,,,,,,,,
character,"1. ______2. ____, _____3. ___, __",,,,,,,,,,,,,,,,,,,,,,,,
characteristics,"________, ______",,,,,,,,,,,,,,,,,,,,,,,,
characterize,______,,,,,,,,,,,,,,,,,,,,,,,,
charge,"1. _____2. _____3. ______, ______ ____4. ______",,,,,,,,,,,,,,,,,,,,,,,,
